,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-05-08,ARG,Argentina,AR.BA,Buenos Aires,729,47,120
3,2020-05-08,ARG,Argentina,AR.CC,Chaco,191,9,56
4,2020-05-08,ARG,Argentina,AR.CH,Chubut,1,,
5,2020-05-08,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,648,32,301
6,2020-05-08,ARG,Argentina,AR.CB,Cordoba,228,6,38
7,2020-05-08,ARG,Argentina,AR.CN,Corrientes,31,,5
8,2020-05-08,ARG,Argentina,AR.ER,Entre Rios,21,,10
10,2020-05-08,ARG,Argentina,AR.JY,Jujuy,5,,3
11,2020-05-08,ARG,Argentina,AR.LP,La Pampa,5,,
12,2020-05-08,ARG,Argentina,AR.LR,La Rioja,31,2,2
13,2020-05-08,ARG,Argentina,AR.MZ,Mendoza,63,5,5
14,2020-05-08,ARG,Argentina,AR.MN,Misiones,3,,
15,2020-05-08,ARG,Argentina,AR.NQ,Neuquen,91,4,2
16,2020-05-08,ARG,Argentina,AR.RN,Rio Negro,106,2,7
17,2020-05-08,ARG,Argentina,AR.SA,Salta,4,,
18,2020-05-08,ARG,Argentina,AR.SJ,San Juan,2,,
19,2020-05-08,ARG,Argentina,AR.SL,San Luis,11,,6
20,2020-05-08,ARG,Argentina,AR.SC,Santa Cruz,40,,5
21,2020-05-08,ARG,Argentina,AR.SF,Santa Fe,209,2,27
22,2020-05-08,ARG,Argentina,AR.SE,Santiago del Estero,12,,3
23,2020-05-08,ARG,Argentina,AR.TF,Tierra del Fuego,110,,36
24,2020-05-08,ARG,Argentina,AR.TM,Tucuman,30,3,3
25,2020-05-08,AUS,Australia,AU.AC,Australian Capital Territory,107,3,103
26,2020-05-08,AUS,Australia,AU.NS,New South Wales,3051,44,2504
27,2020-05-08,AUS,Australia,AU.NT,Northern Territory,29,,27
28,2020-05-08,AUS,Australia,AU.QL,Queensland,1045,6,1019
29,2020-05-08,AUS,Australia,AU.SA,South Australia,439,4,433
30,2020-05-08,AUS,Australia,AU.TS,Tasmania,227,13,175
31,2020-05-08,AUS,Australia,AU.VI,Victoria,1468,18,1327
32,2020-05-08,AUS,Australia,AU.WA,Western Australia,552,9,534
33,2020-05-08,AUT,Austria,AT.TR,Tirol,3517,107,3284
34,2020-05-08,AUT,Austria,AT.SZ,Salzburg,1212,36,1142
35,2020-05-08,AUT,Austria,AT.ST,Steiermark,1792,135,1380
36,2020-05-08,AUT,Austria,AT.NO,Niederösterreich,2682,95,2394
37,2020-05-08,AUT,Austria,AT.WI,Wien,2631,141,1992
38,2020-05-08,AUT,Austria,AT.KA,Kärnten,411,13,386
