,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-05-05,ARG,Argentina,AR.BA,Buenos Aires,729,47,120
3,2020-05-05,ARG,Argentina,AR.CC,Chaco,191,9,56
4,2020-05-05,ARG,Argentina,AR.CH,Chubut,1,,
5,2020-05-05,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,648,32,301
6,2020-05-05,ARG,Argentina,AR.CB,Cordoba,228,6,38
7,2020-05-05,ARG,Argentina,AR.CN,Corrientes,31,,5
8,2020-05-05,ARG,Argentina,AR.ER,Entre Rios,21,,10
10,2020-05-05,ARG,Argentina,AR.JY,Jujuy,5,,3
11,2020-05-05,ARG,Argentina,AR.LP,La Pampa,5,,
12,2020-05-05,ARG,Argentina,AR.LR,La Rioja,31,2,2
13,2020-05-05,ARG,Argentina,AR.MZ,Mendoza,63,5,5
14,2020-05-05,ARG,Argentina,AR.MN,Misiones,3,,
15,2020-05-05,ARG,Argentina,AR.NQ,Neuquen,91,4,2
16,2020-05-05,ARG,Argentina,AR.RN,Rio Negro,106,2,7
17,2020-05-05,ARG,Argentina,AR.SA,Salta,4,,
18,2020-05-05,ARG,Argentina,AR.SJ,San Juan,2,,
19,2020-05-05,ARG,Argentina,AR.SL,San Luis,11,,6
20,2020-05-05,ARG,Argentina,AR.SC,Santa Cruz,40,,5
21,2020-05-05,ARG,Argentina,AR.SF,Santa Fe,209,2,27
22,2020-05-05,ARG,Argentina,AR.SE,Santiago del Estero,12,,3
23,2020-05-05,ARG,Argentina,AR.TF,Tierra del Fuego,110,,36
24,2020-05-05,ARG,Argentina,AR.TM,Tucuman,30,3,3
25,2020-05-05,AUS,Australia,AU.AC,Australian Capital Territory,107,3,103
26,2020-05-05,AUS,Australia,AU.NS,New South Wales,3042,44,2418
27,2020-05-05,AUS,Australia,AU.NT,Northern Territory,29,,26
28,2020-05-05,AUS,Australia,AU.QL,Queensland,1043,6,985
29,2020-05-05,AUS,Australia,AU.SA,South Australia,438,4,429
30,2020-05-05,AUS,Australia,AU.TS,Tasmania,225,13,165
31,2020-05-05,AUS,Australia,AU.VI,Victoria,1440,18,1321
32,2020-05-05,AUS,Australia,AU.WA,Western Australia,551,9,528
33,2020-05-05,AUT,Austria,AT.TR,Tirol,3509,105,3244
34,2020-05-05,AUT,Austria,AT.SZ,Salzburg,1214,36,1119
35,2020-05-05,AUT,Austria,AT.ST,Steiermark,1777,134,1300
36,2020-05-05,AUT,Austria,AT.NO,Niederösterreich,2650,95,2310
37,2020-05-05,AUT,Austria,AT.WI,Wien,2557,137,1902
38,2020-05-05,AUT,Austria,AT.KA,Kärnten,411,13,383
39,2020-05-05,AUT,Austria,AT.VO,Vorarlberg,874,18,828
40,2020-05-05,AUT,Austria,AT.OO,Oberösterreich,2258,57,2115
41,2020-05-05,AUT,Austria,AT.BU,Burgenland,329,11,261
45,2020-05-05,BRA,Brazil,BR.AC,Acre,817,29,
46,2020-05-05,BRA,Brazil,BR.AP,Amapá,1931,55,
47,2020-05-05,BRA,Brazil,BR.AM,Amazonas,8109,649,
48,2020-05-05,BRA,Brazil,BR.PB,Pará,4472,369,
49,2020-05-05,BRA,Brazil,BR.RO,Rondônia,861,29,
50,2020-05-05,BRA,Brazil,BR.RR,Roraima,869,11,
51,2020-05-05,BRA,Brazil,BR.TO,Tocantins,303,7,
52,2020-05-05,BRA,Brazil,BR.AL,Alagoas,1606,80,
53,2020-05-05,BRA,Brazil,BR.BA,Bahia,4040,146,
54,2020-05-05,BRA,Brazil,BR.CE,Ceará,11470,795,
55,2020-05-05,BRA,Brazil,BR.MA,Maranhão,4530,271,
56,2020-05-05,BRA,Brazil,BR.PA,Paraíba,1361,85,
57,2020-05-05,BRA,Brazil,BR.PE,Pernambuco,9325,749,
58,2020-05-05,BRA,Brazil,BR.PI,Piauí,875,29,
59,2020-05-05,BRA,Brazil,BR.RN,Rio Grande do Norte,1536,68,
60,2020-05-05,BRA,Brazil,BR.SE,Sergipe,898,21,
61,2020-05-05,BRA,Brazil,BR.ES,Espirito Santo,3402,133,
62,2020-05-05,BRA,Brazil,BR.MG,Minas Gerais,2452,94,
63,2020-05-05,BRA,Brazil,BR.RJ,Rio de Janeiro,12391,1123,
64,2020-05-05,BRA,Brazil,BR.SC,São Paulo,34053,2851,
65,2020-05-05,BRA,Brazil,BR.PR,Paraná,1588,99,
66,2020-05-05,BRA,Brazil,BR.RS,Rio Grande do Sul,1815,79,
67,2020-05-05,BRA,Brazil,BR.SP,Santa Catarina,2623,55,
68,2020-05-05,BRA,Brazil,BR.DF,Distrito Federal,1818,33,
69,2020-05-05,BRA,Brazil,BR.GO,Goiás,922,38,
70,2020-05-05,BRA,Brazil,BR.MT,Mato Grosso,365,13,
