,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-05-03,ARG,Argentina,AR.BA,Buenos Aires,729,47,120
3,2020-05-03,ARG,Argentina,AR.CC,Chaco,191,9,56
4,2020-05-03,ARG,Argentina,AR.CH,Chubut,1,,
5,2020-05-03,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,648,32,301
6,2020-05-03,ARG,Argentina,AR.CB,Cordoba,228,6,38
7,2020-05-03,ARG,Argentina,AR.CN,Corrientes,31,,5
8,2020-05-03,ARG,Argentina,AR.ER,Entre Rios,21,,10
10,2020-05-03,ARG,Argentina,AR.JY,Jujuy,5,,3
11,2020-05-03,ARG,Argentina,AR.LP,La Pampa,5,,
12,2020-05-03,ARG,Argentina,AR.LR,La Rioja,31,2,2
13,2020-05-03,ARG,Argentina,AR.MZ,Mendoza,63,5,5
14,2020-05-03,ARG,Argentina,AR.MN,Misiones,3,,
15,2020-05-03,ARG,Argentina,AR.NQ,Neuquen,91,4,2
16,2020-05-03,ARG,Argentina,AR.RN,Rio Negro,106,2,7
17,2020-05-03,ARG,Argentina,AR.SA,Salta,4,,
18,2020-05-03,ARG,Argentina,AR.SJ,San Juan,2,,
19,2020-05-03,ARG,Argentina,AR.SL,San Luis,11,,6
20,2020-05-03,ARG,Argentina,AR.SC,Santa Cruz,40,,5
21,2020-05-03,ARG,Argentina,AR.SF,Santa Fe,209,2,27
22,2020-05-03,ARG,Argentina,AR.SE,Santiago del Estero,12,,3
23,2020-05-03,ARG,Argentina,AR.TF,Tierra del Fuego,110,,36
24,2020-05-03,ARG,Argentina,AR.TM,Tucuman,30,3,3
25,2020-05-03,AUS,Australia,AU.AC,Australian Capital Territory,106,3,103
26,2020-05-03,AUS,Australia,AU.NS,New South Wales,3033,42,2328
27,2020-05-03,AUS,Australia,AU.NT,Northern Territory,29,,24
28,2020-05-03,AUS,Australia,AU.QL,Queensland,1038,6,980
29,2020-05-03,AUS,Australia,AU.SA,South Australia,438,4,427
30,2020-05-03,AUS,Australia,AU.TS,Tasmania,221,13,164
31,2020-05-03,AUS,Australia,AU.VI,Victoria,1406,18,1300
32,2020-05-03,AUS,Australia,AU.WA,Western Australia,551,9,523
33,2020-05-03,AUT,Austria,AT.TR,Tirol,3504,105,3215
34,2020-05-03,AUT,Austria,AT.SZ,Salzburg,1219,36,1115
35,2020-05-03,AUT,Austria,AT.ST,Steiermark,1766,133,1246
36,2020-05-03,AUT,Austria,AT.NO,Niederösterreich,2633,92,2255
37,2020-05-03,AUT,Austria,AT.WI,Wien,2538,135,1827
38,2020-05-03,AUT,Austria,AT.KA,Kärnten,410,13,382
39,2020-05-03,AUT,Austria,AT.VO,Vorarlberg,873,17,824
40,2020-05-03,AUT,Austria,AT.OO,Oberösterreich,2257,57,2106
