,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-04-30,ARG,Argentina,AR.BA,Buenos Aires,729,47,120
3,2020-04-30,ARG,Argentina,AR.CC,Chaco,191,9,56
4,2020-04-30,ARG,Argentina,AR.CH,Chubut,1,,
5,2020-04-30,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,648,32,301
6,2020-04-30,ARG,Argentina,AR.CB,Cordoba,228,6,38
7,2020-04-30,ARG,Argentina,AR.CN,Corrientes,31,,5
8,2020-04-30,ARG,Argentina,AR.ER,Entre Rios,21,,10
10,2020-04-30,ARG,Argentina,AR.JY,Jujuy,5,,3
11,2020-04-30,ARG,Argentina,AR.LP,La Pampa,5,,
12,2020-04-30,ARG,Argentina,AR.LR,La Rioja,31,2,2
13,2020-04-30,ARG,Argentina,AR.MZ,Mendoza,63,5,5
14,2020-04-30,ARG,Argentina,AR.MN,Misiones,3,,
15,2020-04-30,ARG,Argentina,AR.NQ,Neuquen,91,4,2
16,2020-04-30,ARG,Argentina,AR.RN,Rio Negro,106,2,7
17,2020-04-30,ARG,Argentina,AR.SA,Salta,4,,
18,2020-04-30,ARG,Argentina,AR.SJ,San Juan,2,,
19,2020-04-30,ARG,Argentina,AR.SL,San Luis,11,,6
20,2020-04-30,ARG,Argentina,AR.SC,Santa Cruz,40,,5
21,2020-04-30,ARG,Argentina,AR.SF,Santa Fe,209,2,27
22,2020-04-30,ARG,Argentina,AR.SE,Santiago del Estero,12,,3
23,2020-04-30,ARG,Argentina,AR.TF,Tierra del Fuego,110,,36
24,2020-04-30,ARG,Argentina,AR.TM,Tucuman,30,3,3
25,2020-04-30,AUS,Australia,AU.AC,Australian Capital Territory,106,3,103
26,2020-04-30,AUS,Australia,AU.NS,New South Wales,3025,41,2293
27,2020-04-30,AUS,Australia,AU.NT,Northern Territory,28,,25
28,2020-04-30,AUS,Australia,AU.QL,Queensland,1033,6,948
29,2020-04-30,AUS,Australia,AU.SA,South Australia,438,4,420
30,2020-04-30,AUS,Australia,AU.TS,Tasmania,221,13,153
31,2020-04-30,AUS,Australia,AU.VI,Victoria,1364,18,1293
32,2020-04-30,AUS,Australia,AU.WA,Western Australia,551,8,507
33,2020-04-30,AUT,Austria,AT.TR,Tirol,3502,105,3160
34,2020-04-30,AUT,Austria,AT.SZ,Salzburg,1217,35,1090
35,2020-04-30,AUT,Austria,AT.ST,Steiermark,1761,129,1187
36,2020-04-30,AUT,Austria,AT.NO,Niederösterreich,2619,92,2164
37,2020-04-30,AUT,Austria,AT.WI,Wien,2465,130,1808
38,2020-04-30,AUT,Austria,AT.KA,Kärnten,410,12,379
39,2020-04-30,AUT,Austria,AT.VO,Vorarlberg,871,16,795
40,2020-04-30,AUT,Austria,AT.OO,Oberösterreich,2254,55,2074
41,2020-04-30,AUT,Austria,AT.BU,Burgenland,325,10,250
45,2020-04-30,BRA,Brazil,BR.AC,Acre,404,19,
46,2020-04-30,BRA,Brazil,BR.AP,Amapá,1080,34,
47,2020-04-30,BRA,Brazil,BR.AM,Amazonas,5254,425,
48,2020-04-30,BRA,Brazil,BR.PB,Pará,2876,208,
49,2020-04-30,BRA,Brazil,BR.RO,Rondônia,502,16,
50,2020-04-30,BRA,Brazil,BR.RR,Roraima,519,7,
51,2020-04-30,BRA,Brazil,BR.TO,Tocantins,137,3,
52,2020-04-30,BRA,Brazil,BR.AL,Alagoas,1044,47,
53,2020-04-30,BRA,Brazil,BR.BA,Bahia,2851,104,
54,2020-04-30,BRA,Brazil,BR.CE,Ceará,7606,482,
55,2020-04-30,BRA,Brazil,BR.MA,Maranhão,3190,184,
56,2020-04-30,BRA,Brazil,BR.PA,Paraíba,814,62,
57,2020-04-30,BRA,Brazil,BR.PE,Pernambuco,6876,565,
58,2020-04-30,BRA,Brazil,BR.PI,Piauí,513,24,
59,2020-04-30,BRA,Brazil,BR.RN,Rio Grande do Norte,1177,56,
60,2020-04-30,BRA,Brazil,BR.SE,Sergipe,447,12,
61,2020-04-30,BRA,Brazil,BR.ES,Espirito Santo,2465,83,
62,2020-04-30,BRA,Brazil,BR.MG,Minas Gerais,1827,82,
63,2020-04-30,BRA,Brazil,BR.RJ,Rio de Janeiro,9453,854,
64,2020-04-30,BRA,Brazil,BR.SC,São Paulo,28698,2375,
65,2020-04-30,BRA,Brazil,BR.PR,Paraná,1407,83,
66,2020-04-30,BRA,Brazil,BR.RS,Rio Grande do Sul,1466,51,
67,2020-04-30,BRA,Brazil,BR.SP,Santa Catarina,2085,46,
68,2020-04-30,BRA,Brazil,BR.DF,Distrito Federal,1356,30,
69,2020-04-30,BRA,Brazil,BR.GO,Goiás,781,29,
70,2020-04-30,BRA,Brazil,BR.MT,Mato Grosso,297,11,
71,2020-04-30,BRA,Brazil,BR.MS,Mato Grosso do Sul,255,9,
72,2020-04-30,CAN,Canada,CA.AB,Alberta,5355,90,
73,2020-04-30,CAN,Canada,CA.BC,British Columbia,2112,111,
75,2020-04-30,CAN,Canada,CA.MB,Manitoba,277,6,
76,2020-04-30,CAN,Canada,CA.NB,New Brunswick,118,,
77,2020-04-30,CAN,Canada,CA.NF,Newfoundland and Labrador,258,3,
78,2020-04-30,CAN,Canada,CA.NS,Nova Scotia,947,28,
79,2020-04-30,CAN,Canada,CA.ON,Ontario,17395,1205,
80,2020-04-30,CAN,Canada,CA.PE,Prince Edward Island,27,0,
81,2020-04-30,CAN,Canada,CA.QC,Quebec,27550,1859,
82,2020-04-30,CAN,Canada,CA.SK,Saskatchewan,389,7,
84,2020-04-30,CAN,Canada,CA.NT,Northwest Territories,5,,
85,2020-04-30,CAN,Canada,CA.YT,Yukon,11,,
86,2020-04-30,CHL,Chile,CL.AN,Antofagasta,481,4,
87,2020-04-30,CHL,Chile,CL.AR,Araucanía,1251,32,
88,2020-04-30,CHL,Chile,CL.AP,Arica y Parinacota,278,3,
89,2020-04-30,CHL,Chile,CL.AT,Atacama,35,,
90,2020-04-30,CHL,Chile,CL.AI,Aysén,7,,
91,2020-04-30,CHL,Chile,CL.BI,Biobío,709,7,
92,2020-04-30,CHL,Chile,CL.CO,Coquimbo,74,,
93,2020-04-30,CHL,Chile,CL.LG,Los Lagos,477,9,
94,2020-04-30,CHL,Chile,CL.LR,Los Ríos,180,5,
95,2020-04-30,CHL,Chile,CL.MA,Magallanes,693,10,
96,2020-04-30,CHL,Chile,CL.ML,Maule,384,13,
97,2020-04-30,CHL,Chile,CL.RM,Santiago Metropolitan,8300,100,
98,2020-04-30,CHL,Chile,CL.NB,Ñuble,747,14,
99,2020-04-30,CHL,Chile,CL.LI,O'Higgins,97,1,
100,2020-04-30,CHL,Chile,CL.TP,Tarapacá,169,1,
101,2020-04-30,CHL,Chile,CL.VS,Valparaíso,493,10,
244,2020-04-30,DEU,Germany,DE.RP,Rheinland-Pfalz,6086,172,
245,2020-04-30,DEU,Germany,DE.SH,Schleswig-Holstein,2714,110,
247,2020-04-30,DEU,Germany,DE.HE,Hessen,8376,360,
248,2020-04-30,DEU,Germany,DE.BW,Baden-Württemberg,31919,1385,
249,2020-04-30,DEU,Germany,DE.BY,Bayern,42489,1850,
250,2020-04-30,DEU,Germany,DE.NW,Nordrhein-Westfalen,33058,1261,
251,2020-04-30,DEU,Germany,DE.HB,Bremen,859,30,
252,2020-04-30,DEU,Germany,DE.HH,Hamburg,4604,163,
253,2020-04-30,DEU,Germany,DE.NI,Niedersachsen,10141,429,
254,2020-04-30,DEU,Germany,DE.BE,Berlin,5887,149,
255,2020-04-30,DEU,Germany,DE.BR,Brandenburg,2872,120,
256,2020-04-30,DEU,Germany,DE.SN,Sachsen,4592,162,
257,2020-04-30,DEU,Germany,DE.TH,Thüringen,2323,93,
258,2020-04-30,DEU,Germany,DE.SL,Saarland,2581,135,
259,2020-04-30,DEU,Germany,DE.MV,Mecklenburg-Vorpommern,693,18,
260,2020-04-30,DEU,Germany,DE.ST,Sachsen-Anhalt,1564,44,
261,2020-04-30,IND,India,IN.KL,Kerala,469,,
262,2020-04-30,IND,India,IN.DD,Delhi,2918,,
263,2020-04-30,IND,India,IN.TG,Telangana,1001,,
264,2020-04-30,IND,India,IN.RJ,Rajasthan,2185,,
265,2020-04-30,IND,India,IN.HR,Haryana,296,,
266,2020-04-30,IND,India,IN.UP,Uttar Pradesh,1873,,
267,2020-04-30,IND,India,IN.LD,Ladakh,20,,
268,2020-04-30,IND,India,IN.TN,Tamil Nadu,1885,,
269,2020-04-30,IND,India,IN.JK,Jammu and Kashmir,523,,
270,2020-04-30,IND,India,IN.KA,Karnataka,503,,
271,2020-04-30,IND,India,IN.MH,Maharashtra,8068,,
272,2020-04-30,IND,India,IN.PB,Punjab,322,,
273,2020-04-30,IND,India,IN.AP,Andhra Pradesh,1097,,
274,2020-04-30,IND,India,IN.UT,Uttarakhand,51,,
275,2020-04-30,IND,India,IN.OR,Odisha,103,,
276,2020-04-30,IND,India,IN.PY,Puducherry,8,,
277,2020-04-30,IND,India,IN.WB,West Bengal,611,,
278,2020-04-30,IND,India,IN.CH,Chandigarh,36,,
