,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-05-04,ARG,Argentina,AR.BA,Buenos Aires,729,47,120
3,2020-05-04,ARG,Argentina,AR.CC,Chaco,191,9,56
4,2020-05-04,ARG,Argentina,AR.CH,Chubut,1,,
5,2020-05-04,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,648,32,301
6,2020-05-04,ARG,Argentina,AR.CB,Cordoba,228,6,38
7,2020-05-04,ARG,Argentina,AR.CN,Corrientes,31,,5
8,2020-05-04,ARG,Argentina,AR.ER,Entre Rios,21,,10
10,2020-05-04,ARG,Argentina,AR.JY,Jujuy,5,,3
11,2020-05-04,ARG,Argentina,AR.LP,La Pampa,5,,
12,2020-05-04,ARG,Argentina,AR.LR,La Rioja,31,2,2
13,2020-05-04,ARG,Argentina,AR.MZ,Mendoza,63,5,5
14,2020-05-04,ARG,Argentina,AR.MN,Misiones,3,,
15,2020-05-04,ARG,Argentina,AR.NQ,Neuquen,91,4,2
16,2020-05-04,ARG,Argentina,AR.RN,Rio Negro,106,2,7
17,2020-05-04,ARG,Argentina,AR.SA,Salta,4,,
18,2020-05-04,ARG,Argentina,AR.SJ,San Juan,2,,
19,2020-05-04,ARG,Argentina,AR.SL,San Luis,11,,6
20,2020-05-04,ARG,Argentina,AR.SC,Santa Cruz,40,,5
21,2020-05-04,ARG,Argentina,AR.SF,Santa Fe,209,2,27
22,2020-05-04,ARG,Argentina,AR.SE,Santiago del Estero,12,,3
23,2020-05-04,ARG,Argentina,AR.TF,Tierra del Fuego,110,,36
24,2020-05-04,ARG,Argentina,AR.TM,Tucuman,30,3,3
25,2020-05-04,AUS,Australia,AU.AC,Australian Capital Territory,107,3,103
26,2020-05-04,AUS,Australia,AU.NS,New South Wales,3035,43,2349
27,2020-05-04,AUS,Australia,AU.NT,Northern Territory,29,,24
28,2020-05-04,AUS,Australia,AU.QL,Queensland,1043,6,980
29,2020-05-04,AUS,Australia,AU.SA,South Australia,438,4,427
30,2020-05-04,AUS,Australia,AU.TS,Tasmania,221,13,165
31,2020-05-04,AUS,Australia,AU.VI,Victoria,1423,18,1311
32,2020-05-04,AUS,Australia,AU.WA,Western Australia,551,9,528
33,2020-05-04,AUT,Austria,AT.TR,Tirol,3509,105,3217
34,2020-05-04,AUT,Austria,AT.SZ,Salzburg,1219,36,1116
35,2020-05-04,AUT,Austria,AT.ST,Steiermark,1774,133,1252
36,2020-05-04,AUT,Austria,AT.NO,Niederösterreich,2638,93,2270
37,2020-05-04,AUT,Austria,AT.WI,Wien,2541,136,1884
38,2020-05-04,AUT,Austria,AT.KA,Kärnten,410,13,382
39,2020-05-04,AUT,Austria,AT.VO,Vorarlberg,874,17,824
40,2020-05-04,AUT,Austria,AT.OO,Oberösterreich,2258,56,2110
41,2020-05-04,AUT,Austria,AT.BU,Burgenland,328,11,261
45,2020-05-04,BRA,Brazil,BR.AC,Acre,733,28,
46,2020-05-04,BRA,Brazil,BR.AP,Amapá,1733,49,
47,2020-05-04,BRA,Brazil,BR.AM,Amazonas,7242,584,
48,2020-05-04,BRA,Brazil,BR.PB,Pará,4125,330,
49,2020-05-04,BRA,Brazil,BR.RO,Rondônia,756,25,
50,2020-05-04,BRA,Brazil,BR.RR,Roraima,806,11,
51,2020-05-04,BRA,Brazil,BR.TO,Tocantins,267,6,
52,2020-05-04,BRA,Brazil,BR.AL,Alagoas,1538,72,
53,2020-05-04,BRA,Brazil,BR.BA,Bahia,3734,141,
54,2020-05-04,BRA,Brazil,BR.CE,Ceará,11040,712,
55,2020-05-04,BRA,Brazil,BR.MA,Maranhão,4227,249,
56,2020-05-04,BRA,Brazil,BR.PA,Paraíba,1219,79,
57,2020-05-04,BRA,Brazil,BR.PE,Pernambuco,8863,691,
58,2020-05-04,BRA,Brazil,BR.PI,Piauí,784,28,
59,2020-05-04,BRA,Brazil,BR.RN,Rio Grande do Norte,1421,62,
60,2020-05-04,BRA,Brazil,BR.SE,Sergipe,772,17,
61,2020-05-04,BRA,Brazil,BR.ES,Espirito Santo,3226,122,
62,2020-05-04,BRA,Brazil,BR.MG,Minas Gerais,2347,90,
63,2020-05-04,BRA,Brazil,BR.RJ,Rio de Janeiro,11721,1065,
64,2020-05-04,BRA,Brazil,BR.SC,São Paulo,32187,2654,
65,2020-05-04,BRA,Brazil,BR.PR,Paraná,1562,94,
66,2020-05-04,BRA,Brazil,BR.RS,Rio Grande do Sul,1711,74,
67,2020-05-04,BRA,Brazil,BR.SP,Santa Catarina,2519,52,
68,2020-05-04,BRA,Brazil,BR.DF,Distrito Federal,1768,33,
69,2020-05-04,BRA,Brazil,BR.GO,Goiás,861,30,
70,2020-05-04,BRA,Brazil,BR.MT,Mato Grosso,344,13,
