,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-06-03,ARG,Argentina,AR.BA,Buenos Aires,0,0,120
2,2020-06-03,ARG,Argentina,AR.CT,Catamarca,0,0,0
3,2020-06-03,ARG,Argentina,AR.CC,Chaco,0,0,56
4,2020-06-03,ARG,Argentina,AR.CH,Chubut,0,0,0
5,2020-06-03,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,0,0,301
6,2020-06-03,ARG,Argentina,AR.CB,Cordoba,0,0,38
7,2020-06-03,ARG,Argentina,AR.CN,Corrientes,0,0,5
8,2020-06-03,ARG,Argentina,AR.ER,Entre Rios,0,0,10
9,2020-06-03,ARG,Argentina,AR.FM,Formosa,0,0,0
10,2020-06-03,ARG,Argentina,AR.JY,Jujuy,0,0,3
11,2020-06-03,ARG,Argentina,AR.LP,La Pampa,0,0,0
12,2020-06-03,ARG,Argentina,AR.LR,La Rioja,0,0,2
13,2020-06-03,ARG,Argentina,AR.MZ,Mendoza,0,0,5
14,2020-06-03,ARG,Argentina,AR.MN,Misiones,0,0,0
15,2020-06-03,ARG,Argentina,AR.NQ,Neuquen,0,0,2
16,2020-06-03,ARG,Argentina,AR.RN,Rio Negro,0,0,7
17,2020-06-03,ARG,Argentina,AR.SA,Salta,0,0,0
18,2020-06-03,ARG,Argentina,AR.SJ,San Juan,0,0,0
19,2020-06-03,ARG,Argentina,AR.SL,San Luis,0,0,6
20,2020-06-03,ARG,Argentina,AR.SC,Santa Cruz,0,0,5
21,2020-06-03,ARG,Argentina,AR.SF,Santa Fe,0,0,27
22,2020-06-03,ARG,Argentina,AR.SE,Santiago del Estero,0,0,3
23,2020-06-03,ARG,Argentina,AR.TF,Tierra del Fuego,0,0,36
24,2020-06-03,ARG,Argentina,AR.TM,Tucuman,0,0,3
25,2020-06-03,AUS,Australia,AU.AC,Australian Capital Territory,107,3,104
26,2020-06-03,AUS,Australia,AU.NS,New South Wales,3106,48,2700
27,2020-06-03,AUS,Australia,AU.NT,Northern Territory,29,0,29
28,2020-06-03,AUS,Australia,AU.QL,Queensland,1060,6,1046
29,2020-06-03,AUS,Australia,AU.SA,South Australia,440,4,435
30,2020-06-03,AUS,Australia,AU.TS,Tasmania,228,13,208
31,2020-06-03,AUS,Australia,AU.VI,Victoria,1678,19,1569
32,2020-06-03,AUS,Australia,AU.WA,Western Australia,592,9,557
33,2020-06-03,AUT,Austria,AT.TR,Tirol,3536,108,3425
34,2020-06-03,AUT,Austria,AT.SZ,Salzburg,1220,38,1197
35,2020-06-03,AUT,Austria,AT.ST,Steiermark,1840,148,1655
36,2020-06-03,AUT,Austria,AT.NO,Niederösterreich,2868,100,2687
37,2020-06-03,AUT,Austria,AT.WI,Wien,3277,172,2894
38,2020-06-03,AUT,Austria,AT.KA,Kärnten,416,13,398
39,2020-06-03,AUT,Austria,AT.VO,Vorarlberg,901,19,867
40,2020-06-03,AUT,Austria,AT.OO,Oberösterreich,2300,61,2221
41,2020-06-03,AUT,Austria,AT.BU,Burgenland,342,11,328
45,2020-06-03,BRA,Brazil,BR.AC,Acre,6679,171,
46,2020-06-03,BRA,Brazil,BR.AP,Amapá,11107,247,
47,2020-06-03,BRA,Brazil,BR.AM,Amazonas,44347,2138,
48,2020-06-03,BRA,Brazil,BR.PB,Pará,44774,3193,
49,2020-06-03,BRA,Brazil,BR.RO,Rondônia,5713,180,
50,2020-06-03,BRA,Brazil,BR.RR,Roraima,4143,124,
51,2020-06-03,BRA,Brazil,BR.TO,Tocantins,4698,82,
52,2020-06-03,BRA,Brazil,BR.AL,Alagoas,12407,506,
53,2020-06-03,BRA,Brazil,BR.BA,Bahia,22451,762,
54,2020-06-03,BRA,Brazil,BR.CE,Ceará,56056,3605,
55,2020-06-03,BRA,Brazil,BR.MA,Maranhão,38174,1028,
56,2020-06-03,BRA,Brazil,BR.PA,Paraíba,16018,414,
57,2020-06-03,BRA,Brazil,BR.PE,Pernambuco,36463,3012,
58,2020-06-03,BRA,Brazil,BR.PI,Piauí,5828,192,
59,2020-06-03,BRA,Brazil,BR.RN,Rio Grande do Norte,9149,367,
60,2020-06-03,BRA,Brazil,BR.SE,Sergipe,7989,180,
61,2020-06-03,BRA,Brazil,BR.ES,Espirito Santo,16121,698,
62,2020-06-03,BRA,Brazil,BR.MG,Minas Gerais,12010,306,
63,2020-06-03,BRA,Brazil,BR.RJ,Rio de Janeiro,59240,6010,
64,2020-06-03,BRA,Brazil,BR.SC,São Paulo,123483,8276,
65,2020-06-03,BRA,Brazil,BR.PR,Paraná,5494,205,
66,2020-06-03,BRA,Brazil,BR.RS,Rio Grande do Sul,10398,258,
67,2020-06-03,BRA,Brazil,BR.SP,Santa Catarina,10034,152,
68,2020-06-03,BRA,Brazil,BR.DF,Distrito Federal,12020,191,
69,2020-06-03,BRA,Brazil,BR.GO,Goiás,4570,155,
70,2020-06-03,BRA,Brazil,BR.MT,Mato Grosso,2848,76,
71,2020-06-03,BRA,Brazil,BR.MS,Mato Grosso do Sul,1802,20,
72,2020-06-03,CAN,Canada,CA.AB,Alberta,7076,145,
73,2020-06-03,CAN,Canada,CA.BC,British Columbia,2623,166,
75,2020-06-03,CAN,Canada,CA.MB,Manitoba,298,7,
76,2020-06-03,CAN,Canada,CA.NB,New Brunswick,135,0,
77,2020-06-03,CAN,Canada,CA.NF,Newfoundland and Labrador,261,3,
78,2020-06-03,CAN,Canada,CA.NS,Nova Scotia,1058,60,
79,2020-06-03,CAN,Canada,CA.ON,Ontario,30603,2392,
80,2020-06-03,CAN,Canada,CA.PE,Prince Edward Island,27,0,
81,2020-06-03,CAN,Canada,CA.QC,Quebec,51884,4794,
82,2020-06-03,CAN,Canada,CA.SK,Saskatchewan,647,11,
84,2020-06-03,CAN,Canada,CA.NT,Northwest Territories,5,0,
85,2020-06-03,CAN,Canada,CA.YT,Yukon,11,0,
100,2020-06-03,CHL,Chile,CL.TP,Tarapacá,2526,22,
86,2020-06-03,CHL,Chile,CL.AN,Antofagasta,2585,32,
89,2020-06-03,CHL,Chile,CL.AT,Atacama,232,0,
92,2020-06-03,CHL,Chile,CL.CO,Coquimbo,668,2,
101,2020-06-03,CHL,Chile,CL.VS,Valparaíso,3348,70,
99,2020-06-03,CHL,Chile,CL.LI,O'Higgins,813,18,
96,2020-06-03,CHL,Chile,CL.ML,Maule,1341,17,
91,2020-06-03,CHL,Chile,CL.BI,Biobío,2070,11,
87,2020-06-03,CHL,Chile,CL.AR,Araucanía,2111,47,
93,2020-06-03,CHL,Chile,CL.LG,Los Lagos,863,13,
90,2020-06-03,CHL,Chile,CL.AI,Aysén,17,0,
95,2020-06-03,CHL,Chile,CL.MA,Magallanes,1056,19,
97,2020-06-03,CHL,Chile,CL.RM,Santiago Metropolitan,85239,824,
94,2020-06-03,CHL,Chile,CL.LR,Los Ríos,363,7,
88,2020-06-03,CHL,Chile,CL.AP,Arica y Parinacota,636,8,
98,2020-06-03,CHL,Chile,CL.NB,Ñuble,1290,23,
,2020-06-03,HRV,Croatia,HR.BB,Bjelovarsko-Bilogorska,12,0,
,2020-06-03,HRV,Croatia,HR.SP,Brodsko-Posavska,44,1,
,2020-06-03,HRV,Croatia,HR.DN,Dubrovačko-Neretvanska,114,8,
,2020-06-03,HRV,Croatia,HR.GZ,Grad Zagreb,478,16,
,2020-06-03,HRV,Croatia,HR.IS,Istarska,92,2,
,2020-06-03,HRV,Croatia,HR.KA,Karlovačka,31,1,
,2020-06-03,HRV,Croatia,HR.KK,Koprivničko-Križevačka,92,15,
,2020-06-03,HRV,Croatia,HR.KZ,Krapinsko-Zagorska,134,2,
,2020-06-03,HRV,Croatia,HR.LS,Ličko-Senjska,20,1,
,2020-06-03,HRV,Croatia,HR.ME,Međimurska,8,0,
,2020-06-03,HRV,Croatia,HR.OB,Osječko-Baranjska,134,8,
,2020-06-03,HRV,Croatia,HR.PS,Požeško-Slavonska,8,1,
,2020-06-03,HRV,Croatia,HR.PG,Primorsko-Goranska,83,1,
,2020-06-03,HRV,Croatia,HR.SB,Šibensko-Kninska,89,5,
,2020-06-03,HRV,Croatia,HR.SM,Sisačko-Moslavačka,36,0,
,2020-06-03,HRV,Croatia,HR.SD,Splitsko-Dalmatinska,549,36,
,2020-06-03,HRV,Croatia,HR.VA,Varaždinska,51,0,
,2020-06-03,HRV,Croatia,HR.VP,Virovitičko-Podravska,11,1,
,2020-06-03,HRV,Croatia,HR.VS,Vukovarsko-Srijemska,41,0,
,2020-06-03,HRV,Croatia,HR.ZD,Zadarska,87,1,
,2020-06-03,HRV,Croatia,HR.ZG,Zagrebačka,131,4,
244,2020-06-03,DEU,Germany,DE.RP,Rheinland-Pfalz,6719,230,
245,2020-06-03,DEU,Germany,DE.SH,Schleswig-Holstein,3103,146,
247,2020-06-03,DEU,Germany,DE.HE,Hessen,10129,482,
248,2020-06-03,DEU,Germany,DE.BW,Baden-Württemberg,34830,1761,
249,2020-06-03,DEU,Germany,DE.BY,Bayern,47209,2479,
250,2020-06-03,DEU,Germany,DE.NW,Nordrhein-Westfalen,38297,1611,
251,2020-06-03,DEU,Germany,DE.HB,Bremen,1462,44,
252,2020-06-03,DEU,Germany,DE.HH,Hamburg,5096,253,
253,2020-06-03,DEU,Germany,DE.NI,Niedersachsen,12182,601,
254,2020-06-03,DEU,Germany,DE.BE,Berlin,6901,200,
255,2020-06-03,DEU,Germany,DE.BR,Brandenburg,3280,156,
256,2020-06-03,DEU,Germany,DE.SN,Sachsen,5312,212,
257,2020-06-03,DEU,Germany,DE.TH,Thüringen,3033,167,
258,2020-06-03,DEU,Germany,DE.SL,Saarland,2737,164,
259,2020-06-03,DEU,Germany,DE.MV,Mecklenburg-Vorpommern,763,20,
260,2020-06-03,DEU,Germany,DE.ST,Sachsen-Anhalt,1711,55,
261,2020-06-03,IND,India,IN.KL,Kerala,469,,
262,2020-06-03,IND,India,IN.DD,Delhi,2918,,
263,2020-06-03,IND,India,IN.TG,Telangana,1001,,
264,2020-06-03,IND,India,IN.RJ,Rajasthan,2195,,
265,2020-06-03,IND,India,IN.HR,Haryana,296,,
266,2020-06-03,IND,India,IN.UP,Uttar Pradesh,1903,,
267,2020-06-03,IND,India,IN.LD,Ladakh,20,,
268,2020-06-03,IND,India,IN.TN,Tamil Nadu,1885,,
269,2020-06-03,IND,India,IN.JK,Jammu and Kashmir,527,,
270,2020-06-03,IND,India,IN.KA,Karnataka,503,,
271,2020-06-03,IND,India,IN.MH,Maharashtra,8284,,
272,2020-06-03,IND,India,IN.PB,Punjab,324,,
273,2020-06-03,IND,India,IN.AP,Andhra Pradesh,1103,,
274,2020-06-03,IND,India,IN.UT,Uttarakhand,51,,
275,2020-06-03,IND,India,IN.OR,Odisha,103,,
276,2020-06-03,IND,India,IN.PY,Puducherry,8,,
277,2020-06-03,IND,India,IN.WB,West Bengal,611,,
278,2020-06-03,IND,India,IN.CH,Chandigarh,36,,
279,2020-06-03,IND,India,IN.CT,Chhattisgarh,37,,
280,2020-06-03,IND,India,IN.GJ,Gujarat,3301,,
281,2020-06-03,IND,India,IN.HP,Himachal Pradesh,40,,
282,2020-06-03,IND,India,IN.MP,Madhya Pradesh,2114,,
283,2020-06-03,IND,India,IN.BR,Bihar,277,,
284,2020-06-03,IND,India,IN.MN,Manipur,2,,
