,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-05-28,ARG,Argentina,AR.BA,Buenos Aires,0,0,120
2,2020-05-28,ARG,Argentina,AR.CT,Catamarca,0,0,0
3,2020-05-28,ARG,Argentina,AR.CC,Chaco,0,0,56
4,2020-05-28,ARG,Argentina,AR.CH,Chubut,0,0,0
5,2020-05-28,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,0,0,301
6,2020-05-28,ARG,Argentina,AR.CB,Cordoba,0,0,38
7,2020-05-28,ARG,Argentina,AR.CN,Corrientes,0,0,5
8,2020-05-28,ARG,Argentina,AR.ER,Entre Rios,0,0,10
9,2020-05-28,ARG,Argentina,AR.FM,Formosa,0,0,0
10,2020-05-28,ARG,Argentina,AR.JY,Jujuy,0,0,3
11,2020-05-28,ARG,Argentina,AR.LP,La Pampa,0,0,0
12,2020-05-28,ARG,Argentina,AR.LR,La Rioja,0,0,2
13,2020-05-28,ARG,Argentina,AR.MZ,Mendoza,0,0,5
14,2020-05-28,ARG,Argentina,AR.MN,Misiones,0,0,0
15,2020-05-28,ARG,Argentina,AR.NQ,Neuquen,0,0,2
16,2020-05-28,ARG,Argentina,AR.RN,Rio Negro,0,0,7
17,2020-05-28,ARG,Argentina,AR.SA,Salta,0,0,0
18,2020-05-28,ARG,Argentina,AR.SJ,San Juan,0,0,0
19,2020-05-28,ARG,Argentina,AR.SL,San Luis,0,0,6
20,2020-05-28,ARG,Argentina,AR.SC,Santa Cruz,0,0,5
21,2020-05-28,ARG,Argentina,AR.SF,Santa Fe,0,0,27
22,2020-05-28,ARG,Argentina,AR.SE,Santiago del Estero,0,0,3
23,2020-05-28,ARG,Argentina,AR.TF,Tierra del Fuego,0,0,36
24,2020-05-28,ARG,Argentina,AR.TM,Tucuman,0,0,3
25,2020-05-28,AUS,Australia,AU.AC,Australian Capital Territory,107,3,104
26,2020-05-28,AUS,Australia,AU.NS,New South Wales,3092,48,2666
27,2020-05-28,AUS,Australia,AU.NT,Northern Territory,29,0,29
28,2020-05-28,AUS,Australia,AU.QL,Queensland,1058,7,1045
29,2020-05-28,AUS,Australia,AU.SA,South Australia,440,4,435
30,2020-05-28,AUS,Australia,AU.TS,Tasmania,228,13,203
31,2020-05-28,AUS,Australia,AU.VI,Victoria,1634,19,1544
32,2020-05-28,AUS,Australia,AU.WA,Western Australia,577,9,550
33,2020-05-28,AUT,Austria,AT.TR,Tirol,3536,108,3412
34,2020-05-28,AUT,Austria,AT.SZ,Salzburg,1220,38,1192
35,2020-05-28,AUT,Austria,AT.ST,Steiermark,1835,147,1628
36,2020-05-28,AUT,Austria,AT.NO,Niederösterreich,2861,100,2647
37,2020-05-28,AUT,Austria,AT.WI,Wien,3147,172,2607
38,2020-05-28,AUT,Austria,AT.KA,Kärnten,414,13,398
39,2020-05-28,AUT,Austria,AT.VO,Vorarlberg,898,19,866
40,2020-05-28,AUT,Austria,AT.OO,Oberösterreich,2292,60,2212
41,2020-05-28,AUT,Austria,AT.BU,Burgenland,341,11,324
45,2020-05-28,BRA,Brazil,BR.AC,Acre,5600,122,
46,2020-05-28,BRA,Brazil,BR.AP,Amapá,8152,198,
47,2020-05-28,BRA,Brazil,BR.AM,Amazonas,36146,1964,
48,2020-05-28,BRA,Brazil,BR.PB,Pará,33699,2704,
49,2020-05-28,BRA,Brazil,BR.RO,Rondônia,4252,142,
50,2020-05-28,BRA,Brazil,BR.RR,Roraima,2959,102,
51,2020-05-28,BRA,Brazil,BR.TO,Tocantins,3277,68,
52,2020-05-28,BRA,Brazil,BR.AL,Alagoas,8055,385,
53,2020-05-28,BRA,Brazil,BR.BA,Bahia,15963,570,
54,2020-05-28,BRA,Brazil,BR.CE,Ceará,37821,2733,
55,2020-05-28,BRA,Brazil,BR.MA,Maranhão,27979,887,
56,2020-05-28,BRA,Brazil,BR.PA,Paraíba,11132,318,
57,2020-05-28,BRA,Brazil,BR.PE,Pernambuco,30713,2566,
58,2020-05-28,BRA,Brazil,BR.PI,Piauí,4243,138,
59,2020-05-28,BRA,Brazil,BR.RN,Rio Grande do Norte,5630,254,
60,2020-05-28,BRA,Brazil,BR.SE,Sergipe,6156,135,
61,2020-05-28,BRA,Brazil,BR.ES,Espirito Santo,12203,538,
62,2020-05-28,BRA,Brazil,BR.MG,Minas Gerais,8686,255,
63,2020-05-28,BRA,Brazil,BR.RJ,Rio de Janeiro,44886,4856,
64,2020-05-28,BRA,Brazil,BR.SC,São Paulo,95865,6980,
65,2020-05-28,BRA,Brazil,BR.PR,Paraná,3984,169,
66,2020-05-28,BRA,Brazil,BR.RS,Rio Grande do Sul,8234,213,
67,2020-05-28,BRA,Brazil,BR.SP,Santa Catarina,8000,131,
