,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-05-18,ARG,Argentina,AR.BA,Buenos Aires,36185,683,120
2,2020-05-18,ARG,Argentina,AR.CT,Catamarca,217,0,0
3,2020-05-18,ARG,Argentina,AR.CC,Chaco,4335,82,56
4,2020-05-18,ARG,Argentina,AR.CH,Chubut,290,12,0
5,2020-05-18,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,19125,369,301
6,2020-05-18,ARG,Argentina,AR.CB,Cordoba,10956,42,38
7,2020-05-18,ARG,Argentina,AR.CN,Corrientes,1725,0,5
8,2020-05-18,ARG,Argentina,AR.ER,Entre Rios,896,45,10
9,2020-05-18,ARG,Argentina,AR.FM,Formosa,477,0,0
10,2020-05-18,ARG,Argentina,AR.JY,Jujuy,1432,0,3
11,2020-05-18,ARG,Argentina,AR.LP,La Pampa,181,0,0
12,2020-05-18,ARG,Argentina,AR.LR,La Rioja,918,0,2
13,2020-05-18,ARG,Argentina,AR.MZ,Mendoza,1528,0,5
14,2020-05-18,ARG,Argentina,AR.MN,Misiones,790,0,0
15,2020-05-18,ARG,Argentina,AR.NQ,Neuquen,1322,0,2
16,2020-05-18,ARG,Argentina,AR.RN,Rio Negro,2026,0,7
17,2020-05-18,ARG,Argentina,AR.SA,Salta,1025,0,0
18,2020-05-18,ARG,Argentina,AR.SJ,San Juan,450,0,0
19,2020-05-18,ARG,Argentina,AR.SL,San Luis,275,0,6
20,2020-05-18,ARG,Argentina,AR.SC,Santa Cruz,416,0,5
21,2020-05-18,ARG,Argentina,AR.SF,Santa Fe,6773,0,27
22,2020-05-18,ARG,Argentina,AR.SE,Santiago del Estero,599,0,3
23,2020-05-18,ARG,Argentina,AR.TF,Tierra del Fuego,1252,0,36
24,2020-05-18,ARG,Argentina,AR.TM,Tucuman,2912,0,3
25,2020-05-18,AUS,Australia,AU.AC,Australian Capital Territory,107,3,104
26,2020-05-18,AUS,Australia,AU.NS,New South Wales,3078,46,2614
27,2020-05-18,AUS,Australia,AU.NT,Northern Territory,29,0,27
28,2020-05-18,AUS,Australia,AU.QL,Queensland,1057,6,1039
29,2020-05-18,AUS,Australia,AU.SA,South Australia,439,4,435
30,2020-05-18,AUS,Australia,AU.TS,Tasmania,228,13,195
31,2020-05-18,AUS,Australia,AU.VI,Victoria,1573,18,1454
32,2020-05-18,AUS,Australia,AU.WA,Western Australia,557,9,545
33,2020-05-18,AUT,Austria,AT.TR,Tirol,3530,107,3383
34,2020-05-18,AUT,Austria,AT.SZ,Salzburg,1216,37,1183
35,2020-05-18,AUT,Austria,AT.ST,Steiermark,1823,140,1550
36,2020-05-18,AUT,Austria,AT.NO,Niederösterreich,2798,98,2516
37,2020-05-18,AUT,Austria,AT.WI,Wien,2923,144,2237
38,2020-05-18,AUT,Austria,AT.KA,Kärnten,411,13,390
39,2020-05-18,AUT,Austria,AT.VO,Vorarlberg,887,19,856
40,2020-05-18,AUT,Austria,AT.OO,Oberösterreich,2276,60,2187
41,2020-05-18,AUT,Austria,AT.BU,Burgenland,337,11,312
45,2020-05-18,BRA,Brazil,BR.AC,Acre,2234,67,
46,2020-05-18,BRA,Brazil,BR.AP,Amapá,4023,127,
47,2020-05-18,BRA,Brazil,BR.AM,Amazonas,20913,1433,
48,2020-05-18,BRA,Brazil,BR.PB,Pará,14734,1329,
49,2020-05-18,BRA,Brazil,BR.RO,Rondônia,2043,77,
50,2020-05-18,BRA,Brazil,BR.RR,Roraima,1876,60,
51,2020-05-18,BRA,Brazil,BR.TO,Tocantins,1496,32,
52,2020-05-18,BRA,Brazil,BR.AL,Alagoas,4031,221,
53,2020-05-18,BRA,Brazil,BR.BA,Bahia,8581,312,
54,2020-05-18,BRA,Brazil,BR.CE,Ceará,26363,1748,
55,2020-05-18,BRA,Brazil,BR.MA,Maranhão,13238,576,
56,2020-05-18,BRA,Brazil,BR.PA,Paraíba,4786,207,
57,2020-05-18,BRA,Brazil,BR.PE,Pernambuco,20094,1640,
58,2020-05-18,BRA,Brazil,BR.PI,Piauí,2287,80,
59,2020-05-18,BRA,Brazil,BR.RN,Rio Grande do Norte,3184,146,
60,2020-05-18,BRA,Brazil,BR.SE,Sergipe,3566,59,
61,2020-05-18,BRA,Brazil,BR.ES,Espirito Santo,7157,302,
62,2020-05-18,BRA,Brazil,BR.MG,Minas Gerais,4695,161,
63,2020-05-18,BRA,Brazil,BR.RJ,Rio de Janeiro,26665,2852,
64,2020-05-18,BRA,Brazil,BR.SC,São Paulo,63066,4823,
65,2020-05-18,BRA,Brazil,BR.PR,Paraná,2360,127,
66,2020-05-18,BRA,Brazil,BR.RS,Rio Grande do Sul,3735,144,
67,2020-05-18,BRA,Brazil,BR.SP,Santa Catarina,5175,85,
68,2020-05-18,BRA,Brazil,BR.DF,Distrito Federal,4619,66,
69,2020-05-18,BRA,Brazil,BR.GO,Goiás,1749,73,
70,2020-05-18,BRA,Brazil,BR.MT,Mato Grosso,937,29,
71,2020-05-18,BRA,Brazil,BR.MS,Mato Grosso do Sul,613,16,
72,2020-05-18,CAN,Canada,CA.AB,Alberta,6683,128,
73,2020-05-18,CAN,Canada,CA.BC,British Columbia,2444,143,
75,2020-05-18,CAN,Canada,CA.MB,Manitoba,290,7,
76,2020-05-18,CAN,Canada,CA.NB,New Brunswick,120,0,
77,2020-05-18,CAN,Canada,CA.NF,Newfoundland and Labrador,260,3,
78,2020-05-18,CAN,Canada,CA.NS,Nova Scotia,1043,55,
79,2020-05-18,CAN,Canada,CA.ON,Ontario,24286,2019,
80,2020-05-18,CAN,Canada,CA.PE,Prince Edward Island,27,0,
81,2020-05-18,CAN,Canada,CA.QC,Quebec,43636,3597,
82,2020-05-18,CAN,Canada,CA.SK,Saskatchewan,592,7,
84,2020-05-18,CAN,Canada,CA.NT,Northwest Territories,5,0,
85,2020-05-18,CAN,Canada,CA.YT,Yukon,11,0,
100,2020-05-18,CHL,Chile,CL.TP,Tarapacá,1056,4,
