,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-05-01,ARG,Argentina,AR.BA,Buenos Aires,729,47,120
3,2020-05-01,ARG,Argentina,AR.CC,Chaco,191,9,56
4,2020-05-01,ARG,Argentina,AR.CH,Chubut,1,,
5,2020-05-01,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,648,32,301
6,2020-05-01,ARG,Argentina,AR.CB,Cordoba,228,6,38
7,2020-05-01,ARG,Argentina,AR.CN,Corrientes,31,,5
8,2020-05-01,ARG,Argentina,AR.ER,Entre Rios,21,,10
10,2020-05-01,ARG,Argentina,AR.JY,Jujuy,5,,3
11,2020-05-01,ARG,Argentina,AR.LP,La Pampa,5,,
12,2020-05-01,ARG,Argentina,AR.LR,La Rioja,31,2,2
13,2020-05-01,ARG,Argentina,AR.MZ,Mendoza,63,5,5
14,2020-05-01,ARG,Argentina,AR.MN,Misiones,3,,
15,2020-05-01,ARG,Argentina,AR.NQ,Neuquen,91,4,2
16,2020-05-01,ARG,Argentina,AR.RN,Rio Negro,106,2,7
17,2020-05-01,ARG,Argentina,AR.SA,Salta,4,,
18,2020-05-01,ARG,Argentina,AR.SJ,San Juan,2,,
19,2020-05-01,ARG,Argentina,AR.SL,San Luis,11,,6
20,2020-05-01,ARG,Argentina,AR.SC,Santa Cruz,40,,5
21,2020-05-01,ARG,Argentina,AR.SF,Santa Fe,209,2,27
22,2020-05-01,ARG,Argentina,AR.SE,Santiago del Estero,12,,3
23,2020-05-01,ARG,Argentina,AR.TF,Tierra del Fuego,110,,36
24,2020-05-01,ARG,Argentina,AR.TM,Tucuman,30,3,3
25,2020-05-01,AUS,Australia,AU.AC,Australian Capital Territory,106,3,103
26,2020-05-01,AUS,Australia,AU.NS,New South Wales,3030,41,2293
27,2020-05-01,AUS,Australia,AU.NT,Northern Territory,27,,24
28,2020-05-01,AUS,Australia,AU.QL,Queensland,1034,6,965
29,2020-05-01,AUS,Australia,AU.SA,South Australia,438,4,422
30,2020-05-01,AUS,Australia,AU.TS,Tasmania,221,13,157
31,2020-05-01,AUS,Australia,AU.VI,Victoria,1371,18,1300
32,2020-05-01,AUS,Australia,AU.WA,Western Australia,551,8,511
33,2020-05-01,AUT,Austria,AT.TR,Tirol,3504,105,3197
34,2020-05-01,AUT,Austria,AT.SZ,Salzburg,1217,36,1102
35,2020-05-01,AUT,Austria,AT.ST,Steiermark,1764,130,1220
36,2020-05-01,AUT,Austria,AT.NO,Niederösterreich,2625,92,2221
37,2020-05-01,AUT,Austria,AT.WI,Wien,2497,131,1817
38,2020-05-01,AUT,Austria,AT.KA,Kärnten,410,12,381
39,2020-05-01,AUT,Austria,AT.VO,Vorarlberg,872,17,811
40,2020-05-01,AUT,Austria,AT.OO,Oberösterreich,2255,56,2088
41,2020-05-01,AUT,Austria,AT.BU,Burgenland,326,10,255
45,2020-05-01,BRA,Brazil,BR.AC,Acre,486,19,
46,2020-05-01,BRA,Brazil,BR.AP,Amapá,1121,37,
47,2020-05-01,BRA,Brazil,BR.AM,Amazonas,5723,476,
48,2020-05-01,BRA,Brazil,BR.PB,Pará,3176,235,
