,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-05-12,ARG,Argentina,AR.BA,Buenos Aires,729,47,120
2,2020-05-12,ARG,Argentina,AR.CT,Catamarca,0,0,0
3,2020-05-12,ARG,Argentina,AR.CC,Chaco,191,9,56
4,2020-05-12,ARG,Argentina,AR.CH,Chubut,1,0,0
5,2020-05-12,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,648,32,301
6,2020-05-12,ARG,Argentina,AR.CB,Cordoba,228,6,38
7,2020-05-12,ARG,Argentina,AR.CN,Corrientes,31,0,5
8,2020-05-12,ARG,Argentina,AR.ER,Entre Rios,21,0,10
9,2020-05-12,ARG,Argentina,AR.FM,Formosa,0,0,0
10,2020-05-12,ARG,Argentina,AR.JY,Jujuy,5,0,3
11,2020-05-12,ARG,Argentina,AR.LP,La Pampa,5,0,0
12,2020-05-12,ARG,Argentina,AR.LR,La Rioja,31,2,2
13,2020-05-12,ARG,Argentina,AR.MZ,Mendoza,63,5,5
14,2020-05-12,ARG,Argentina,AR.MN,Misiones,3,0,0
15,2020-05-12,ARG,Argentina,AR.NQ,Neuquen,91,4,2
16,2020-05-12,ARG,Argentina,AR.RN,Rio Negro,106,2,7
17,2020-05-12,ARG,Argentina,AR.SA,Salta,4,0,0
18,2020-05-12,ARG,Argentina,AR.SJ,San Juan,2,0,0
19,2020-05-12,ARG,Argentina,AR.SL,San Luis,11,0,6
20,2020-05-12,ARG,Argentina,AR.SC,Santa Cruz,40,0,5
21,2020-05-12,ARG,Argentina,AR.SF,Santa Fe,209,2,27
22,2020-05-12,ARG,Argentina,AR.SE,Santiago del Estero,12,0,3
23,2020-05-12,ARG,Argentina,AR.TF,Tierra del Fuego,110,0,36
24,2020-05-12,ARG,Argentina,AR.TM,Tucuman,30,3,3
25,2020-05-12,AUS,Australia,AU.AC,Australian Capital Territory,107,3,104
26,2020-05-12,AUS,Australia,AU.NS,New South Wales,3059,45,2571
27,2020-05-12,AUS,Australia,AU.NT,Northern Territory,29,0,27
28,2020-05-12,AUS,Australia,AU.QL,Queensland,1052,6,1028
29,2020-05-12,AUS,Australia,AU.SA,South Australia,439,4,434
30,2020-05-12,AUS,Australia,AU.TS,Tasmania,227,13,184
31,2020-05-12,AUS,Australia,AU.VI,Victoria,1514,18,1385
32,2020-05-12,AUS,Australia,AU.WA,Western Australia,553,9,537
33,2020-05-12,AUT,Austria,AT.TR,Tirol,3518,107,3329
34,2020-05-12,AUT,Austria,AT.SZ,Salzburg,1215,37,1165
35,2020-05-12,AUT,Austria,AT.ST,Steiermark,1813,139,1449
36,2020-05-12,AUT,Austria,AT.NO,Niederösterreich,2709,95,2433
37,2020-05-12,AUT,Austria,AT.WI,Wien,2748,144,2081
38,2020-05-12,AUT,Austria,AT.KA,Kärnten,411,13,388
39,2020-05-12,AUT,Austria,AT.VO,Vorarlberg,879,19,843
40,2020-05-12,AUT,Austria,AT.OO,Oberösterreich,2269,58,2170
41,2020-05-12,AUT,Austria,AT.BU,Burgenland,332,11,290
45,2020-05-12,BRA,Brazil,BR.AC,Acre,1590,51,
46,2020-05-12,BRA,Brazil,BR.AP,Amapá,2910,86,
47,2020-05-12,BRA,Brazil,BR.AM,Amazonas,14168,1098,
48,2020-05-12,BRA,Brazil,BR.PB,Pará,8616,864,
49,2020-05-12,BRA,Brazil,BR.RO,Rondônia,1460,50,
50,2020-05-12,BRA,Brazil,BR.RR,Roraima,1328,27,
51,2020-05-12,BRA,Brazil,BR.TO,Tocantins,828,14,
52,2020-05-12,BRA,Brazil,BR.AL,Alagoas,2580,150,
53,2020-05-12,BRA,Brazil,BR.BA,Bahia,6204,225,
54,2020-05-12,BRA,Brazil,BR.CE,Ceará,18412,1280,
55,2020-05-12,BRA,Brazil,BR.MA,Maranhão,8526,423,
56,2020-05-12,BRA,Brazil,BR.PA,Paraíba,2777,154,
57,2020-05-12,BRA,Brazil,BR.PE,Pernambuco,14309,1157,
58,2020-05-12,BRA,Brazil,BR.PI,Piauí,1443,49,
59,2020-05-12,BRA,Brazil,BR.RN,Rio Grande do Norte,2033,93,
60,2020-05-12,BRA,Brazil,BR.SE,Sergipe,2032,37,
61,2020-05-12,BRA,Brazil,BR.ES,Espirito Santo,5087,212,
62,2020-05-12,BRA,Brazil,BR.MG,Minas Gerais,3435,127,
63,2020-05-12,BRA,Brazil,BR.RJ,Rio de Janeiro,18486,1928,
64,2020-05-12,BRA,Brazil,BR.SC,São Paulo,47719,3949,
65,2020-05-12,BRA,Brazil,BR.PR,Paraná,1906,113,
66,2020-05-12,BRA,Brazil,BR.RS,Rio Grande do Sul,2917,111,
67,2020-05-12,BRA,Brazil,BR.SP,Santa Catarina,3733,73,
68,2020-05-12,BRA,Brazil,BR.DF,Distrito Federal,2979,46,
69,2020-05-12,BRA,Brazil,BR.GO,Goiás,1115,52,
70,2020-05-12,BRA,Brazil,BR.MT,Mato Grosso,591,19,
71,2020-05-12,BRA,Brazil,BR.MS,Mato Grosso do Sul,405,12,
72,2020-05-12,CAN,Canada,CA.AB,Alberta,6345,118,
73,2020-05-12,CAN,Canada,CA.BC,British Columbia,2360,132,
75,2020-05-12,CAN,Canada,CA.MB,Manitoba,290,7,
76,2020-05-12,CAN,Canada,CA.NB,New Brunswick,120,0,
77,2020-05-12,CAN,Canada,CA.NF,Newfoundland and Labrador,261,3,
78,2020-05-12,CAN,Canada,CA.NS,Nova Scotia,1020,48,
79,2020-05-12,CAN,Canada,CA.ON,Ontario,22158,1852,
80,2020-05-12,CAN,Canada,CA.PE,Prince Edward Island,27,0,
81,2020-05-12,CAN,Canada,CA.QC,Quebec,39235,3132,
