id,iso3,country_en,country_zh,region_en,region_zh,Type,local_id1,hasc1
79,CAN,Canada,加拿大,Ontario,安大略省,Province,35,CA.ON
80,CAN,Canada,加拿大,Prince Edward Island,爱德华王子岛省,Province,11,CA.PE
81,CAN,Canada,加拿大,Quebec,魁北克省,Province,24,CA.QC
82,CAN,Canada,加拿大,Saskatchewan,萨斯喀彻温省,Province,47,CA.SK
83,CAN,Canada,加拿大,Diamond Princess,钻石公主号,,,
84,CAN,Canada,加拿大,Northwest Territories,西北地区,Territory,61,CA.NT
85,CAN,Canada,加拿大,Yukon,育空地区,Territory,60,CA.YT
86,CHL,Chile,智利,Antofagasta,安托法加斯塔大区,Region,II,CL.AN
87,CHL,Chile,智利,Araucanía,阿劳卡尼亚大区,Region,IX,CL.AR
88,CHL,Chile,智利,Arica y Parinacota,阿里卡和帕里纳科塔大区,Region,XV,CL.AP
89,CHL,Chile,智利,Atacama,阿塔卡马大区,Region,III,CL.AT
90,CHL,Chile,智利,Aysén,艾森大区,Region,XI,CL.AI
91,CHL,Chile,智利,Biobío,比奥比奥大区,Region,VIII,CL.BI
92,CHL,Chile,智利,Coquimbo,科金博大区,Region,IV,CL.CO
93,CHL,Chile,智利,Los Lagos,湖大区,Region,X,CL.LG
94,CHL,Chile,智利,Los Ríos,河大区,Region,XIV,CL.LR
95,CHL,Chile,智利,Magallanes,麦哲伦大区,Region,XII,CL.MA
96,CHL,Chile,智利,Maule,马乌莱大区,Region,VII,CL.ML
98,CHL,Chile,智利,Ñuble,纽布莱大区,Region,XVI,CL.NB
99,CHL,Chile,智利,O'Higgins,奥伊金斯大区,Region,VI,CL.LI
97,CHL,Chile,智利,Santiago Metropolitan,圣地亚哥首都大区,Region,,CL.RM
100,CHL,Chile,智利,Tarapacá,塔拉帕卡大区,Region,I,CL.TP
101,CHL,Chile,智利,Valparaíso,瓦尔帕莱索大区,Region,V,CL.VS
103,CHN,China,中国,Mainland China|Ningxia,中国大陆|宁夏回族自治区,Autonomous Region,,CN.NX
104,CHN,China,中国,Mainland China|Hebei,中国大陆|河北省,Province,,CN.HB
105,CHN,China,中国,Mainland China|Jilin,中国大陆|吉林省,Province,,CN.JL
106,CHN,China,中国,Mainland China|Shanxi,中国大陆|山西省,Province,,CN.SX
107,CHN,China,中国,Mainland China|Yunnan,中国大陆|云南省,Province,,CN.YN
108,CHN,China,中国,Mainland China|Gansu,中国大陆|甘肃省,Province,,CN.GS
109,CHN,China,中国,Mainland China|Heilongjiang,中国大陆|黑龙江省,Province,,CN.HL
110,CHN,China,中国,Mainland China|Liaoning,中国大陆|辽宁省,Province,,CN.LN
111,CHN,China,中国,Mainland China|Guizhou,中国大陆|贵州省,Province,,CN.GZ
112,CHN,China,中国,Mainland China|Shaanxi,中国大陆|陕西省,Province,,CN.SA
113,CHN,China,中国,Mainland China|Jiangxi,中国大陆|江西省,Province,,CN.JX
114,CHN,China,中国,Mainland China|Hainan,中国大陆|海南省,Province,,CN.HA
115,CHN,China,中国,Mainland China|Henan,中国大陆|河南省,Province,,CN.HE
116,CHN,China,中国,Mainland China|Jiangsu,中国大陆|江苏省,Province,,CN.JS
117,CHN,China,中国,Mainland China|Fujian,中国大陆|福建省,Province,,CN.FJ
118,CHN,China,中国,Mainland China|Guangxi,中国大陆|广西壮族自治区,Autonomous Region,,CN.GX
119,CHN,China,中国,Mainland China|Shandong,中国大陆|山东省,Province,,CN.SD
120,CHN,China,中国,Mainland China|Sichuan,中国大陆|四川省,Province,,CN.SC
121,CHN,China,中国,Mainland China|Chongqing,中国大陆|重庆市,Municipality,,CN.CQ
122,CHN,China,中国,Mainland China|Anhui,中国大陆|安徽省,Province,,CN.AH
123,CHN,China,中国,Mainland China|Hunan,中国大陆|湖南省,Province,,CN.HN
124,CHN,China,中国,Mainland China|Beijing,中国大陆|北京市,Municipality,,CN.BJ
125,CHN,China,中国,Mainland China|Zhejiang,中国大陆|浙江省,Province,,CN.ZJ
126,CHN,China,中国,Mainland China|Guangdong,中国大陆|广东省,Province,,CN.GD
127,CHN,China,中国,Mainland China|Hubei,中国大陆|湖北省,Province,,CN.HU
128,CHN,China,中国,Mainland China|Neimenggu,中国大陆|内蒙古自治区,Autonomous Region,,CN.NM
129,CHN,China,中国,Mainland China|Xinjiang,中国大陆|新疆维吾尔自治区,Autonomous Region,,CN.XJ
130,CHN,China,中国,Mainland China|Qinghai,中国大陆|青海省,Province,,CN.QH
131,CHN,China,中国,Mainland China|Tianjin,中国大陆|天津市,Municipality,,CN.TJ
132,CHN,China,中国,Mainland China|Shanghai,中国大陆|上海市,Municipality,,CN.SH
133,CHN,China,中国,Mainland China|Xizang,中国大陆|西藏自治区,Autonomous Region,,CN.XZ
134,HKG,China,中国,Hong Kong,香港,,,
135,HKG,China,中国,Hong Kong|Kowloon West,香港|九东西,,,
136,HKG,China,中国,Hong Kong|Island East,香港|港岛东,,,
137,HKG,China,中国,Hong Kong|New Territories East,香港|新界东,,,
138,HKG,China,中国,Hong Kong|Kowloon East,香港|九龙东,,,
139,HKG,China,中国,Hong Kong|Island West,香港|港岛西,,,
140,HKG,China,中国,Hong Kong|New Territories West,香港|新界西,,,
141,HKG,China,中国,Hong Kong|Kowloon Central,香港|九龙中,,,
142,TWN,China,中国,Taiwan,台湾,,,
143,MAC,China,中国,Macau,澳门,,,
144,,Colombia,哥伦比亚,Amazonas,亚马孙省,,,
145,,Colombia,哥伦比亚,Antioquia,安蒂奥基亚省,,,
146,,Colombia,哥伦比亚,Arauca,阿劳卡省,,,
147,,Colombia,哥伦比亚,Atlantico,大西洋省,,,
148,,Colombia,哥伦比亚,Bogota,波哥大,,,
149,,Colombia,哥伦比亚,Bolivar,玻利瓦尔省,,,
150,,Colombia,哥伦比亚,Boyaca,博亚卡省,,,
151,,Colombia,哥伦比亚,Caldas,卡尔达斯省,,,
